Constituency,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
KANCHEEPURAM,SELVAM. G,Dravida Munnetra Kazhagam,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,221473,Tamil Nadu
KANGRA,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,ANAND SHARMA,Indian National Congress,251895,Himachal Pradesh
KANKER,BHOJRAJ NAG,Bharatiya Janata Party,BIRESH THAKUR,Indian National Congress,1884,Chhattisgarh
KANNIYAKUMARI,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,RADHAKRISHNAN P,Bharatiya Janata Party,179907,Tamil Nadu
KARAULI-DHOLPUR,BHAJAN LAL JATAV,Indian National Congress,INDU DEVI,Bharatiya Janata Party,98945,Rajasthan
KARNAL,MANOHAR LAL,Bharatiya Janata Party,DIVYANSHU BUDHIRAJA,Indian National Congress,232577,Haryana
KARUR,JOTHIMANI. S,Indian National Congress,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,166816,Tamil Nadu
KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,KAMLESH KUMAR,Bahujan Samaj Party,541229,Madhya Pradesh
KHANDWA,GYANESHWAR PATIL,Bharatiya Janata Party,NARENDRA PATEL,Indian National Congress,269971,Madhya Pradesh
KHARGONE,GAJENDRA SINGH PATEL,Bharatiya Janata Party,PORLAL BATHA KHARTE,Indian National Congress,135018,Madhya Pradesh
KORBA,JYOTSNA CHARANDAS MAHANT,Indian National Congress,SAROJ PANDEY,Bharatiya Janata Party,43283,Chhattisgarh
KOTA,OM BIRLA,Bharatiya Janata Party,PRAHLAD GUNJAL,Indian National Congress,41974,Rajasthan
KRISHNAGIRI,GOPINATH K,Indian National Congress,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,192486,Tamil Nadu
KURUKSHETRA,NAVEEN JINDAL,Bharatiya Janata Party,DR SUSHIL GUPTA,Aam Aadmi Party,29021,Haryana
Kachchh,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,268782,Gujarat
Kadapa,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,62695,Andhra Pradesh
Kairana,IQRA CHOUDHARY,Samajwadi Party,PRADEEP KUMAR,Bharatiya Janata Party,69116,Uttar Pradesh
Kaiserganj,KARAN BHUSHAN SINGH,Bharatiya Janata Party,BHAGAT RAM,Samajwadi Party,148843,Uttar Pradesh
Kakinada,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,229491,Andhra Pradesh
Kalahandi,MALVIKA DEVI,Bharatiya Janata Party,LAMBODAR NIAL,Biju Janata Dal,133813,Odisha
Kalyan,DR SHRIKANT EKNATH SHINDE,Shiv Sena,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),209144,Maharashtra
Kandhamal,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,ACHYUTANANDA SAMANTA,Biju Janata Dal,21371,Odisha
Kannauj,AKHILESH YADAV,Samajwadi Party,SUBRAT PATHAK,Bharatiya Janata Party,170922,Uttar Pradesh
Kannur,K. SUDHAKARAN,Indian National Congress,M.V. JAYARAJAN,Communist Party of India (Marxist),108982,Kerala
Kanpur,RAMESH AWASTHI,Bharatiya Janata Party,ALOK MISRA,Indian National Congress,20968,Uttar Pradesh
Kanthi,ADHIKARI SOUMENDU,Bharatiya Janata Party,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,47764,West Bengal
Karakat,RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),PAWAN SINGH,Independent,105858,Bihar
Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,18360,Assam
Karimnagar,BANDI SANJAY KUMAR,Bharatiya Janata Party,VELCHALA RAJENDER RAO,Indian National Congress,225209,Telangana
Kasaragod,RAJMOHAN UNNITHAN,Indian National Congress,M.V BALAKRISHNAN MASTER,Communist Party of India (Marxist),100649,Kerala
Katihar,TARIQ ANWAR,Indian National Congress,DULAL CHANDRA GOSWAMI,Janata Dal (United),49863,Bihar
Kaushambi,PUSHPENDRA SAROJ,Samajwadi Party,VINOD KUMAR SONKAR,Bharatiya Janata Party,103944,Uttar Pradesh
Kaziranga,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,ROSELINA TIRKEY,Indian National Congress,248947,Assam
Kendrapara,BAIJAYANT PANDA,Bharatiya Janata Party,ANSHUMAN MOHANTY,Biju Janata Dal,66536,Odisha
Keonjhar,ANANTA NAYAK,Bharatiya Janata Party,DHANURJAYA SIDU,Biju Janata Dal,97042,Odisha
Khadoor Sahib,AMRITPAL SINGH,Independent,KULBIR SINGH ZIRA,Indian National Congress,197120,Punjab
Khagaria,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),SANJAY KUMAR,Communist Party of India (Marxist),161131,Bihar
Khammam,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,NAMA NAGESWARA RAO,Bharat Rashtra Samith,467847,Telangana
Kheda,DEVUSINH CHAUHAN,Bharatiya Janata Party,KALUSINH DABHI,Indian National Congress,357758,Gujarat
Kheri,UTKARSH VERMA 'MADHUR',Samajwadi Party,AJAY KUMAR,Bharatiya Janata Party,34329,Uttar Pradesh
Khunti,KALI CHARAN MUNDA,Indian National Congress,ARJUN MUNDA,Bharatiya Janata Party,149675,Jharkhand
Kishanganj,MOHAMMAD JAWED,Indian National Congress,MUJAHID ALAM,Janata Dal (United),59692,Bihar
Kodarma,ANNPURNA DEVI,Bharatiya Janata Party,VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),377014,Jharkhand
Kokrajhar,JOYANTA BASUMATARY,"United People’s Party, Liberal",KAMPA BORGOYARI,Bodoland Peoples Front,51583,Assam
Kolar,M. MALLESH BABU,Janata Dal (Secular),K V GOWTHAM,Indian National Congress,71388,Karnataka
Kolhapur,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,154964,Maharashtra
Kolkata Dakshin,MALA ROY,All India Trinamool Congress,DEBASREE CHAUDHURI,Bharatiya Janata Party,187231,West Bengal
Kolkata Uttar,BANDYOPADHYAY SUDIP,All India Trinamool Congress,TAPAS ROY,Bharatiya Janata Party,92560,West Bengal
